"","48hqc1","48hqc2","48hqc3","48hqc4","48hqc5","48hqc6"
"ASV_389",0,0,0,1,3,3
"ASV_432",0,0,0,2,0,0
"ASV_440",0,0,0,1,0,0
"ASV_445",0,0,0,1,0,0
"ASV_499",0,0,0,1,0,0
"ASV_500",0,0,0,1,0,0
"ASV_509",0,0,0,1,0,0
"ASV_597",0,0,0,1,0,0
"ASV_608",0,0,0,1,0,0
"ASV_730",0,0,0,1,0,0
"ASV_731",0,0,0,4,0,0
"ASV_761",0,0,0,3,0,3
"ASV_808",0,0,0,1,0,0
"ASV_811",0,0,0,1,0,0
"ASV_1022",0,0,0,2,0,0
"ASV_1064",0,0,0,1,3,0
"ASV_1110",0,0,0,3,0,0
"ASV_1263",0,0,0,2,2,0
"ASV_1377",0,0,0,2,0,5
"ASV_1459",0,0,0,1,0,0
"ASV_1522",0,0,0,1,0,0
"ASV_1625",0,0,0,1,0,0
"ASV_1690",0,0,0,1,0,0
"ASV_2197",0,0,0,2,0,0
"ASV_2619",0,0,0,1,0,0
"ASV_2802",0,0,0,1,0,0
"ASV_3022",0,0,0,2,2,0
"ASV_3634",0,0,0,1,0,0
"ASV_3643",0,0,0,2,0,0
"ASV_4066",0,0,0,1,0,0
"ASV_4254",0,0,0,1,0,0
"ASV_4539",0,0,0,2,0,0
"ASV_4556",0,0,0,1,0,0
"ASV_4926",0,0,0,1,0,0
"ASV_5199",0,0,0,1,0,0
"ASV_5584",0,0,0,1,0,0
"ASV_5613",0,0,0,3,0,3
"ASV_43",0,0,0,0,1,0
"ASV_45",0,0,0,0,3,0
"ASV_60",0,0,0,0,1,0
"ASV_66",0,0,0,0,1,0
"ASV_107",0,0,0,0,9,1
"ASV_175",0,0,0,0,1,0
"ASV_262",0,0,0,0,1,0
"ASV_304",0,0,0,0,12,0
"ASV_384",0,0,0,0,22,0
"ASV_420",0,0,0,0,1,0
"ASV_429",0,0,0,0,22,0
"ASV_457",0,0,0,0,5,2
"ASV_498",0,0,0,0,1,0
"ASV_512",0,0,0,0,15,0
"ASV_541",0,0,0,0,1,0
"ASV_555",0,0,0,0,2,0
"ASV_570",0,0,0,0,2,0
"ASV_612",0,0,0,0,3,1
"ASV_686",0,0,0,0,5,0
"ASV_714",0,0,0,0,14,0
"ASV_742",0,0,0,0,5,0
"ASV_776",0,0,0,0,37,0
"ASV_819",0,0,0,0,9,0
"ASV_834",0,0,0,0,8,0
"ASV_904",0,0,0,0,5,0
"ASV_930",0,0,0,0,1,1
"ASV_1141",0,0,0,0,2,0
"ASV_1242",0,0,0,0,26,1
"ASV_1364",0,0,0,0,1,1
"ASV_1433",0,0,0,0,1,0
"ASV_1451",0,0,0,0,3,0
"ASV_1530",0,0,0,0,2,0
"ASV_1568",0,0,0,0,1,1
"ASV_1666",0,0,0,0,5,2
"ASV_1789",0,0,0,0,1,0
"ASV_1804",0,0,0,0,1,0
"ASV_1827",0,0,0,0,1,0
"ASV_1853",0,0,0,0,1,0
"ASV_2138",0,0,0,0,1,0
"ASV_2181",0,0,0,0,2,0
"ASV_2258",0,0,0,0,1,0
"ASV_2275",0,0,0,0,18,0
"ASV_2675",0,0,0,0,1,0
"ASV_2849",0,0,0,0,2,0
"ASV_3059",0,0,0,0,1,1
"ASV_3095",0,0,0,0,1,0
"ASV_3118",0,0,0,0,2,0
"ASV_3214",0,0,0,0,2,0
"ASV_3369",0,0,0,0,1,0
"ASV_3530",0,0,0,0,2,0
"ASV_3820",0,0,0,0,1,0
"ASV_3944",0,0,0,0,1,0
"ASV_3993",0,0,0,0,7,0
"ASV_4062",0,0,0,0,1,0
"ASV_4390",0,0,0,0,3,0
"ASV_4490",0,0,0,0,1,0
"ASV_4540",0,0,0,0,1,0
"ASV_4545",0,0,0,0,1,0
"ASV_4574",0,0,0,0,2,0
"ASV_4679",0,0,0,0,1,0
"ASV_5084",0,0,0,0,1,0
"ASV_5268",0,0,0,0,1,0
"ASV_5476",0,0,0,0,2,0
"ASV_5525",0,0,0,0,1,0
"ASV_5558",0,0,0,0,4,1
"ASV_5637",0,0,0,0,2,0
"ASV_5674",0,0,0,0,3,0
"ASV_5692",0,0,0,0,1,0
"ASV_20",0,0,0,0,0,3
"ASV_50",0,0,0,0,0,1
"ASV_110",0,0,0,0,0,1
"ASV_136",0,0,0,0,0,4
"ASV_208",0,0,0,0,0,5
"ASV_239",0,0,0,0,0,1
"ASV_242",0,0,0,0,0,8
"ASV_249",0,0,0,0,0,1
"ASV_259",0,0,0,0,0,1
"ASV_260",0,0,0,0,0,6
"ASV_280",0,0,0,0,0,4
"ASV_306",0,0,0,0,0,3
"ASV_309",0,0,0,0,0,1
"ASV_334",0,0,0,0,0,2
"ASV_350",0,0,0,0,0,1
"ASV_361",0,0,0,0,0,6
"ASV_379",0,0,0,0,0,1
"ASV_467",0,0,0,0,0,3
"ASV_503",0,0,0,0,0,4
"ASV_504",0,0,0,0,0,3
"ASV_589",0,0,0,0,0,1
"ASV_610",0,0,0,0,0,3
"ASV_650",0,0,0,0,0,1
"ASV_667",0,0,0,0,0,1
