"","48hhc1","48hhc2","48hhc3","48hhc4","48hhc5","48hhc6"
"ASV_126",0,0,0,0,1,0
"ASV_164",0,0,0,0,17,0
"ASV_169",0,0,0,0,1,0
"ASV_172",0,0,0,0,1,0
"ASV_175",0,0,0,0,1,0
"ASV_179",0,0,0,0,1,0
"ASV_185",0,0,0,0,16,0
"ASV_232",0,0,0,0,1,0
"ASV_275",0,0,0,0,9,0
"ASV_283",0,0,0,0,1,0
"ASV_320",0,0,0,0,1,0
"ASV_429",0,0,0,0,47,0
"ASV_489",0,0,0,0,1,0
"ASV_498",0,0,0,0,6,1
"ASV_536",0,0,0,0,1,0
"ASV_612",0,0,0,0,8,0
"ASV_656",0,0,0,0,6,0
"ASV_664",0,0,0,0,1,0
"ASV_677",0,0,0,0,1,0
"ASV_714",0,0,0,0,5,0
"ASV_734",0,0,0,0,1,0
"ASV_760",0,0,0,0,1,1
"ASV_791",0,0,0,0,1,0
"ASV_819",0,0,0,0,23,0
"ASV_867",0,0,0,0,6,0
"ASV_884",0,0,0,0,1,0
"ASV_968",0,0,0,0,2,1
"ASV_1061",0,0,0,0,2,5
"ASV_1062",0,0,0,0,1,0
"ASV_1073",0,0,0,0,4,0
"ASV_1081",0,0,0,0,1,0
"ASV_1095",0,0,0,0,11,0
"ASV_1132",0,0,0,0,1,0
"ASV_1242",0,0,0,0,32,0
"ASV_1244",0,0,0,0,1,1
"ASV_1245",0,0,0,0,5,0
"ASV_1332",0,0,0,0,3,0
"ASV_1383",0,0,0,0,8,0
"ASV_1433",0,0,0,0,2,0
"ASV_1494",0,0,0,0,1,4
"ASV_1549",0,0,0,0,1,0
"ASV_1568",0,0,0,0,1,0
"ASV_1666",0,0,0,0,17,0
"ASV_1736",0,0,0,0,1,0
"ASV_1746",0,0,0,0,1,0
"ASV_1789",0,0,0,0,1,0
"ASV_1804",0,0,0,0,1,0
"ASV_1836",0,0,0,0,1,0
"ASV_1853",0,0,0,0,2,0
"ASV_2163",0,0,0,0,1,0
"ASV_2181",0,0,0,0,1,0
"ASV_2247",0,0,0,0,1,0
"ASV_2275",0,0,0,0,4,0
"ASV_2421",0,0,0,0,6,0
"ASV_2508",0,0,0,0,1,0
"ASV_2529",0,0,0,0,1,0
"ASV_2561",0,0,0,0,2,0
"ASV_2652",0,0,0,0,1,0
"ASV_2685",0,0,0,0,27,0
"ASV_2720",0,0,0,0,1,0
"ASV_2903",0,0,0,0,1,0
"ASV_3026",0,0,0,0,2,0
"ASV_3143",0,0,0,0,32,0
"ASV_3396",0,0,0,0,1,0
"ASV_3450",0,0,0,0,1,0
"ASV_4117",0,0,0,0,28,0
"ASV_4176",0,0,0,0,1,0
"ASV_4222",0,0,0,0,1,0
"ASV_4540",0,0,0,0,6,0
"ASV_4622",0,0,0,0,1,0
"ASV_4735",0,0,0,0,4,0
"ASV_4746",0,0,0,0,1,0
"ASV_4873",0,0,0,0,2,0
"ASV_5033",0,0,0,0,1,0
"ASV_5116",0,0,0,0,1,0
"ASV_5396",0,0,0,0,1,0
"ASV_5455",0,0,0,0,1,0
"ASV_5457",0,0,0,0,1,0
"ASV_5505",0,0,0,0,1,0
"ASV_5525",0,0,0,0,1,0
"ASV_5593",0,0,0,0,4,0
"ASV_5627",0,0,0,0,1,0
"ASV_5632",0,0,0,0,1,1
"ASV_5637",0,0,0,0,19,1
"ASV_5775",0,0,0,0,1,0
"ASV_100",0,0,0,0,0,2
"ASV_195",0,0,0,0,0,1
"ASV_247",0,0,0,0,0,1
"ASV_443",0,0,0,0,0,1
"ASV_455",0,0,0,0,0,1
"ASV_465",0,0,0,0,0,1
"ASV_470",0,0,0,0,0,2
