Enzyme_ID	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6
E225	7	23	60	20	13	26	0	0	7	0	0	22	0	0	1	0	3	0	5	9	8	3	7	5
E226	20	52	53	39	25	37	7	16	2	7	6	60	6	0	6	9	11	10	33	28	18	32	28	16
E227	7	21	20	6	9	31	21	8	1	14	11	20	6	0	10	21	20	9	21	25	33	34	21	15
E228	25	20	27	20	18	37	5	10	6	18	7	23	8	0	6	8	10	11	18	5	8	20	19	5
E229	34	43	21	30	21	47	8	10	4	2	10	44	1	16	18	9	17	14	11	15	14	24	18	9
E230	1	6	7	2	6	4	0	0	5	0	0	6	0	0	0	2	3	0	18	4	15	13	7	14
E231	17	52	85	53	10	52	28	20	5	0	7	54	6	0	22	32	23	13	18	18	13	36	15	20
E232	15	34	38	34	16	34	30	15	4	21	5	54	11	0	7	8	6	12	27	21	12	27	20	15
E233	7	11	25	10	26	16	0	1	1	3	0	22	3	0	0	2	8	1	7	26	12	7	3	5
E234	13	19	21	15	8	24	4	4	5	1	5	36	2	0	2	8	4	8	6	15	9	17	13	11
E235	14	5	15	5	1	9	13	3	1	12	3	17	4	0	2	7	1	7	12	5	2	8	3	2
E236	30	89	84	71	28	83	18	20	15	9	16	94	10	15	8	17	14	26	27	38	39	40	31	19
E237	4	13	23	16	4	25	0	0	0	1	0	53	0	0	1	0	6	0	14	30	10	20	14	13
E238	28	53	61	43	19	47	3	0	8	7	4	61	4	0	0	3	4	1	6	23	7	7	7	12
E239	9	32	10	13	7	26	11	1	1	0	6	14	4	0	3	6	3	8	11	7	10	15	15	10
E240	19	36	47	21	19	39	22	22	40	37	10	49	21	14	13	16	19	14	18	23	19	36	34	16
E241	14	25	23	21	8	24	2	8	3	0	2	28	2	0	1	5	6	11	8	14	13	8	11	6
E242	34	68	97	42	23	63	30	33	9	6	29	56	9	13	41	31	31	24	17	21	16	11	19	19
E243	39	101	107	70	35	82	18	26	28	22	27	115	13	18	33	32	21	39	31	25	33	25	16	16
E244	36	35	65	36	15	53	16	11	17	6	7	112	8	2	23	13	14	13	11	21	16	23	27	9
E245	26	60	38	40	24	49	14	32	4	0	7	87	16	0	14	7	21	4	24	21	18	25	26	17
E246	97	252	135	166	60	217	33	79	21	37	39	268	22	35	66	34	47	40	112	87	83	145	95	61
E247	166	558	421	317	155	469	79	94	82	102	76	563	79	24	75	98	115	96	191	180	165	256	188	156
E248	11	36	28	23	14	33	7	9	1	0	3	38	1	0	14	10	6	3	8	16	7	7	19	6
E249	6	29	17	24	8	19	1	16	1	4	3	22	10	0	3	4	1	2	23	7	5	10	11	3
E250	18	36	59	25	12	41	7	8	8	20	7	69	9	0	2	6	21	9	29	26	16	28	33	17
E251	14	34	49	12	16	36	17	8	5	5	13	27	4	4	13	8	7	6	19	18	15	24	16	9
E252	46	86	98	71	53	95	22	27	23	8	18	115	16	13	21	15	36	30	56	43	28	26	35	23
E253	2	1	9	4	5	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E254	20	59	56	40	24	35	16	10	5	18	12	66	4	11	9	6	10	14	33	21	13	15	16	15
E255	18	29	28	29	12	20	4	5	7	4	4	29	2	0	6	9	7	4	27	14	19	19	15	10
E256	3	9	17	6	11	15	12	6	1	2	4	13	6	6	16	5	4	4	5	7	2	21	17	6
E257	9	11	16	10	9	14	10	1	6	7	0	4	15	1	0	4	1	2	1	8	6	8	2	2
E258	23	44	35	27	13	37	8	21	4	12	3	35	14	0	8	14	8	11	24	9	11	15	14	16
E259	18	55	52	36	6	29	11	16	6	14	6	48	15	16	10	16	10	7	19	17	15	16	22	7
E260	7	9	1	12	0	9	0	0	0	0	0	14	0	0	4	0	6	0	7	7	3	1	2	5
E261	5	9	4	6	0	10	0	0	0	0	0	9	0	0	0	0	4	0	3	6	3	1	3	1
E262	21	21	27	27	1	42	12	15	2	11	13	27	4	7	9	9	4	8	9	8	9	10	7	7
E263	32	62	74	59	20	63	18	23	4	13	15	71	10	1	16	23	26	14	32	23	30	21	39	33
E264	5	9	9	5	2	9	2	3	1	3	5	11	4	7	2	7	3	3	3	1	2	1	5	3
E265	11	2	7	2	3	2	0	0	3	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
