"total","year","disappearance","year.1","appearance","year.2","year_pair","MRS","tissue","group1","group2","group3"
0.0920096852300242,6,0.0847457627118644,6,0.00726392251815981,6,"3-6",6.88075313807532,"Midgut",6,4,3
0.04177545691906,9,0.0287206266318538,9,0.0130548302872063,9,"6-9",30.3744769874477,"Midgut",6,4,3
0.102941176470588,12,0.0147058823529412,12,0.0882352941176471,12,"9-12",33.6276150627615,"Midgut",6,4,3
0.114077669902913,24,0.0898058252427184,24,0.0242718446601942,24,"12-24",15.0020920502092,"Midgut",6,4,3
0.0364583333333333,48,0.0130208333333333,48,0.0234375,48,"24-48",14.2384937238494,"Midgut",6,4,3
0.0671641791044776,72,0.0099502487562189,72,0.0572139303482587,72,"48-72",13.765690376569,"Midgut",6,4,3
0.0594059405940594,0,0,0,0.0594059405940594,0,"-1-0",12.7384937238494,"Midgut",6,4,4
0.00740740740740741,3,0.00493827160493827,3,0.00246913580246914,3,"0-3",3.42259414225942,"Midgut",6,4,4
0.0620347394540943,6,0.0620347394540943,6,0,6,"3-6",7.00627615062761,"Midgut",6,4,4
0.026246719160105,9,0.0183727034120735,9,0.0078740157480315,9,"6-9",4.06903765690377,"Midgut",6,4,4
0.0236220472440945,12,0.005249343832021,12,0.0183727034120735,12,"9-12",2.78870292887029,"Midgut",6,4,4
0.0767326732673267,24,0.0148514851485149,24,0.0618811881188119,24,"12-24",6.66108786610879,"Midgut",6,4,4
0.125,48,0.0462962962962963,48,0.0787037037037037,48,"24-48",18.0983263598326,"Midgut",6,4,4
0.110854503464203,72,0.0623556581986143,72,0.0484988452655889,72,"48-72",9.00418410041841,"Midgut",6,4,4
0.106635071090047,0,0.00710900473933649,0,0.0995260663507109,0,"-1-0",12.8430962343096,"Midgut",6,4,5
0.104265402843602,3,0.0971563981042654,3,0.00710900473933649,3,"0-3",7.65899581589958,"Midgut",6,4,5
0.0182767624020888,6,0.0130548302872063,6,0.00522193211488251,6,"3-6",3.10251046025105,"Midgut",6,4,5
0.0408163265306122,9,0.00510204081632653,9,0.0357142857142857,9,"6-9",6.418410041841,"Midgut",6,4,5
0.0460358056265985,12,0.0434782608695652,12,0.00255754475703325,12,"9-12",6.88702928870293,"Midgut",6,4,5
0.0159574468085106,24,0.0106382978723404,24,0.00531914893617021,24,"12-24",2.19456066945607,"Midgut",6,4,5
0.125295508274232,48,0.00472813238770686,48,0.120567375886525,48,"24-48",19.4769874476987,"Midgut",6,4,5
0.118203309692671,72,0.113475177304965,72,0.00472813238770686,72,"48-72",14.9916317991632,"Midgut",6,4,5
0.0253164556962025,0,0.010126582278481,0,0.0151898734177215,0,"-1-0",28.1799163179916,"Midgut",6,4,6
0.038265306122449,3,0.0357142857142857,3,0.00255102040816327,3,"0-3",6.27615062761506,"Midgut",6,4,6
0.0105263157894737,6,0.00526315789473684,6,0.00526315789473684,6,"3-6",2.19874476987447,"Midgut",6,4,6
0.0562659846547315,9,0.0230179028132992,9,0.0332480818414322,9,"6-9",5.13179916317991,"Midgut",6,4,6
0.0835380835380835,12,0.0221130221130221,12,0.0614250614250614,12,"9-12",10.8389121338912,"Midgut",6,4,6
0.036319612590799,24,0,24,0.036319612590799,24,"12-24",18.428870292887,"Midgut",6,4,6
0.0845410628019324,48,0.0821256038647343,48,0.00241545893719807,48,"24-48",17.0543933054393,"Midgut",6,4,6
0.0338541666666667,72,0.0234375,72,0.0104166666666667,72,"48-72",18.1506276150628,"Midgut",6,4,6
0.040920716112532,0,0.010230179028133,0,0.030690537084399,0,"-1-0",14.7489539748954,"Midgut",6,5,1
0.051413881748072,3,0.0462724935732648,3,0.0051413881748072,3,"0-3",7.73221757322176,"Midgut",6,5,1
0.0237467018469657,6,0.00263852242744063,6,0.0211081794195251,6,"3-6",5.47280334728034,"Midgut",6,5,1
0.0577889447236181,9,0.00753768844221105,9,0.050251256281407,9,"6-9",5.85146443514645,"Midgut",6,5,1
0.0618811881188119,12,0.0396039603960396,12,0.0222772277227723,12,"9-12",5.82426778242678,"Midgut",6,5,1
0.0562347188264059,24,0.00488997555012225,24,0.0513447432762836,24,"12-24",10.5292887029289,"Midgut",6,5,1
0.0802919708029197,48,0.0705596107055961,48,0.0097323600973236,48,"24-48",18.3807531380753,"Midgut",6,5,1
0.0338541666666667,72,0.0286458333333333,72,0.00520833333333333,72,"48-72",4.34100418410042,"Midgut",6,5,1
0.0849514563106796,0,0.0825242718446602,0,0.00242718446601942,0,"-1-0",11.6652719665272,"Midgut",6,5,2
0.0601503759398496,3,0.0075187969924812,3,0.0526315789473684,3,"0-3",6.39539748953975,"Midgut",6,5,2
0.0454545454545455,6,0.0454545454545455,6,0,6,"3-6",6.11924686192469,"Midgut",6,5,2
0.0586734693877551,9,0.0229591836734694,9,0.0357142857142857,9,"6-9",5.9602510460251,"Midgut",6,5,2
0.0462724935732648,12,0.0308483290488432,12,0.0154241645244216,12,"9-12",4.46234309623431,"Midgut",6,5,2
0.0182767624020888,24,0.00261096605744125,24,0.0156657963446475,24,"12-24",21.3179916317992,"Midgut",6,5,2
0.0669975186104218,48,0.0148883374689826,48,0.0521091811414392,48,"24-48",23.8514644351464,"Midgut",6,5,2
0.0525,72,0.045,72,0.0075,72,"48-72",7.61715481171548,"Midgut",6,5,2
0.132584269662921,0,0.11685393258427,0,0.0157303370786517,0,"-1-0",16.8200836820084,"Midgut",6,5,3
0.101654846335697,3,0.0307328605200946,3,0.0709219858156028,3,"0-3",8.03556485355649,"Midgut",6,5,3
0.0966183574879227,6,0.0869565217391304,6,0.00966183574879227,6,"3-6",8.26778242677825,"Midgut",6,5,3
0.0366492146596859,9,0.0261780104712042,9,0.0104712041884817,9,"6-9",29.6506276150628,"Midgut",6,5,3
0.102941176470588,12,0.0147058823529412,12,0.0882352941176471,12,"9-12",33.6276150627615,"Midgut",6,5,3
0.114077669902913,24,0.0898058252427184,24,0.0242718446601942,24,"12-24",15.0020920502092,"Midgut",6,5,3
0.0364583333333333,48,0.0130208333333333,48,0.0234375,48,"24-48",14.2384937238494,"Midgut",6,5,3
0.0671641791044776,72,0.0099502487562189,72,0.0572139303482587,72,"48-72",13.765690376569,"Midgut",6,5,3
0.0594059405940594,0,0,0,0.0594059405940594,0,"-1-0",12.7384937238494,"Midgut",6,5,4
0.00740740740740741,3,0.00493827160493827,3,0.00246913580246914,3,"0-3",3.42259414225942,"Midgut",6,5,4
0.0716049382716049,6,0.0666666666666667,6,0.00493827160493827,6,"3-6",8.03765690376569,"Midgut",6,5,4
0.0210526315789474,9,0.0157894736842105,9,0.00526315789473684,9,"6-9",3.918410041841,"Midgut",6,5,4
0.0236220472440945,12,0.005249343832021,12,0.0183727034120735,12,"9-12",2.78870292887029,"Midgut",6,5,4
0.0767326732673267,24,0.0148514851485149,24,0.0618811881188119,24,"12-24",6.66108786610879,"Midgut",6,5,4
0.125,48,0.0462962962962963,48,0.0787037037037037,48,"24-48",18.0983263598326,"Midgut",6,5,4
0.110854503464203,72,0.0623556581986143,72,0.0484988452655889,72,"48-72",9.00418410041841,"Midgut",6,5,4
0.106635071090047,0,0.00710900473933649,0,0.0995260663507109,0,"-1-0",12.8430962343096,"Midgut",6,5,5
0.104265402843602,3,0.0971563981042654,3,0.00710900473933649,3,"0-3",7.65899581589958,"Midgut",6,5,5
0.0182767624020888,6,0.0130548302872063,6,0.00522193211488251,6,"3-6",3.67154811715481,"Midgut",6,5,5
0.0458015267175573,9,0.00763358778625954,9,0.0381679389312977,9,"6-9",7.52510460251046,"Midgut",6,5,5
0.0460358056265985,12,0.0434782608695652,12,0.00255754475703325,12,"9-12",6.88702928870293,"Midgut",6,5,5
0.0159574468085106,24,0.0106382978723404,24,0.00531914893617021,24,"12-24",2.19456066945607,"Midgut",6,5,5
0.125295508274232,48,0.00472813238770686,48,0.120567375886525,48,"24-48",19.4769874476987,"Midgut",6,5,5
0.118203309692671,72,0.113475177304965,72,0.00472813238770686,72,"48-72",14.9916317991632,"Midgut",6,5,5
0.0253164556962025,0,0.010126582278481,0,0.0151898734177215,0,"-1-0",28.1799163179916,"Midgut",6,5,6
0.038265306122449,3,0.0357142857142857,3,0.00255102040816327,3,"0-3",6.27615062761506,"Midgut",6,5,6
0.0209424083769634,6,0.0104712041884817,6,0.0104712041884817,6,"3-6",5.2489539748954,"Midgut",6,5,6
0.0612244897959184,9,0.0255102040816327,9,0.0357142857142857,9,"6-9",5.7092050209205,"Midgut",6,5,6
0.0835380835380835,12,0.0221130221130221,12,0.0614250614250614,12,"9-12",10.8389121338912,"Midgut",6,5,6
0.036319612590799,24,0,24,0.036319612590799,24,"12-24",18.428870292887,"Midgut",6,5,6
0.0845410628019324,48,0.0821256038647343,48,0.00241545893719807,48,"24-48",17.0543933054393,"Midgut",6,5,6
0.0338541666666667,72,0.0234375,72,0.0104166666666667,72,"48-72",18.1506276150628,"Midgut",6,5,6
0.040920716112532,0,0.010230179028133,0,0.030690537084399,0,"-1-0",14.7489539748954,"Midgut",6,6,1
0.051413881748072,3,0.0462724935732648,3,0.0051413881748072,3,"0-3",7.73221757322176,"Midgut",6,6,1
0.0588235294117647,6,0.00767263427109974,6,0.051150895140665,6,"3-6",7.55230125523013,"Midgut",6,6,1
0.0522388059701493,9,0.0174129353233831,9,0.0348258706467662,9,"6-9",5.24476987447699,"Midgut",6,6,1
0.0618811881188119,12,0.0396039603960396,12,0.0222772277227723,12,"9-12",5.82426778242678,"Midgut",6,6,1
0.0562347188264059,24,0.00488997555012225,24,0.0513447432762836,24,"12-24",10.5292887029289,"Midgut",6,6,1
0.0802919708029197,48,0.0705596107055961,48,0.0097323600973236,48,"24-48",18.3807531380753,"Midgut",6,6,1
0.0338541666666667,72,0.0286458333333333,72,0.00520833333333333,72,"48-72",4.34100418410042,"Midgut",6,6,1
0.0849514563106796,0,0.0825242718446602,0,0.00242718446601942,0,"-1-0",11.6652719665272,"Midgut",6,6,2
0.0601503759398496,3,0.0075187969924812,3,0.0526315789473684,3,"0-3",6.39539748953975,"Midgut",6,6,2
0.0878048780487805,6,0.0536585365853659,6,0.0341463414634146,6,"3-6",7.5836820083682,"Midgut",6,6,2
0.0179948586118252,9,0.0154241645244216,9,0.0025706940874036,9,"6-9",3.08995815899582,"Midgut",6,6,2
0.0462724935732648,12,0.0308483290488432,12,0.0154241645244216,12,"9-12",4.46234309623431,"Midgut",6,6,2
0.0182767624020888,24,0.00261096605744125,24,0.0156657963446475,24,"12-24",21.3179916317992,"Midgut",6,6,2
0.0669975186104218,48,0.0148883374689826,48,0.0521091811414392,48,"24-48",23.8514644351464,"Midgut",6,6,2
0.0525,72,0.045,72,0.0075,72,"48-72",7.61715481171548,"Midgut",6,6,2
0.132584269662921,0,0.11685393258427,0,0.0157303370786517,0,"-1-0",16.8200836820084,"Midgut",6,6,3
0.101654846335697,3,0.0307328605200946,3,0.0709219858156028,3,"0-3",8.03556485355649,"Midgut",6,6,3
0.104513064133017,6,0.0783847980997625,6,0.0261282660332542,6,"3-6",6.83682008368201,"Midgut",6,6,3
