ASV_ID	pCK1	pCK2	pCK3	pCK4	pCK5	pCK6	pCK7	pCK8	Y01	Y02	Y03	Y04	Y05	Y06	Y07	Y08	Y31	Y32	Y33	Y34	Y35	Y36	Y37	Y38	Y61	Y62	Y63	Y64	Y65	Y66	Y67	Y68	Y91	Y92	Y93	Y94	Y95	Y96	Y97	Y98	Y121	Y122	Y123	Y124	Y125	Y126	Y127	Y128	Y241	Y242	Y243	Y244	Y245	Y246	Y247	Y248
ASV_41	66	130	48	69	77	124	113	85	43	153	140	122	101	50	92	71	203	273	200	195	320	226	219	201	471	308	417	359	371	383	191	197	46	20	24	28	20	25	63	41	70	90	61	52	108	30	46	103	7	21	9	14	14	17	10	6
ASV_42	3	14	2	4	3	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	3	8	10	6	7	5	0	0	0	0	0	0	0	0
ASV_43	1	8	1	2	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	18	4	8	24	18	19	21	4	0	6	5	3	9	1	10
ASV_44	399	403	460	422	360	551	539	457	25	28	25	32	24	29	30	37	88	76	100	70	62	56	122	64	128	79	62	72	123	81	98	117	9	11	15	3	14	7	1	11	35	27	19	22	24	31	22	30	12	4	8	11	8	5	19	12
ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	4	4	4	2	4	2	0	0	0	2	0	0	0	0
ASV_46	0	1	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	15	15	11	21	10	16	0	0	0	0	0	0	0	0
ASV_47	0	63	0	27	2	63	16	22	42	67	136	114	18	22	38	75	204	183	100	142	130	107	164	95	232	440	495	73	452	1093	310	194	88	36	38	45	24	28	16	27	34	29	5	10	9	29	14	17	5	3	10	3	1	13	11	10
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
ASV_49	1035	1144	1509	1023	1078	1552	970	1001	3	10	6	3	3	4	3	7	8	10	4	15	15	1	9	5	4	1	0	2	2	1	2	3	1	3	5	7	5	6	2	2	14	27	21	26	20	23	14	19	20	16	21	5	8	17	13	28
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_53	13	16	41	32	19	17	26	25	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	4	1	7	6	4	0	2	0	0	0	0	5	3	0	1
ASV_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_55	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	0	4	0	1	2	5	0	4	0	2	4	0	6	0	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	1	0	1	3	0	0
ASV_56	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0
ASV_60	527	486	788	506	485	640	371	450	0	0	4	0	0	1	1	0	2	3	4	2	1	0	0	6	4	1	1	4	0	1	1	1	2	0	0	2	1	0	4	0	4	11	9	8	12	6	10	14	8	7	9	5	8	4	9	9
ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0
ASV_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_66	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	1	2	2	0	5	0	1	0	0	0	0	1	0	0	0	11	10	4	10	8	6	5	8	0	0	0	0	0	0	0	0
ASV_67	26	41	53	28	43	29	40	34	7	5	1	8	4	5	5	5	0	3	0	2	0	1	2	3	414	310	217	340	450	253	462	423	9	8	11	9	9	11	11	8	406	346	409	445	366	372	431	334	310	338	294	303	306	253	319	338
ASV_68	6	6	3	4	1	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ASV_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	2	2	0	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_72	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1
ASV_76	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1
