	CKqc1	CKqc2	CKqc3	CKqc4	CKqc5	CKqc6	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	CKhc1	CKhc2	CKhc3	CKhc4	CKhc5	CKhc6	0hqc1	0hqc2	0hqc3	0hqc4	0hqc5	0hqc7	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	0hhc1	0hhc2	0hhc3	0hhc4	0hhc5	0hhc7	3hqc1	3hqc2	3hqc3	3hqc4	3hqc5	3hqc6	3hmc1	3hmc2	3hmc3	3hmc4	3hmc5	3hmc6	3hhc1	3hhc2	3hhc3	3hhc4	3hhc5	3hhc6	6hqc1	6hqc2	6hqc3	6hqc4	6hqc5	6hqc6	6hmc1	6hmc2	6hmc3	6hmc4	6hmc5	6hmc6	6hhc1	6hhc2	6hhc3	6hhc4	6hhc5	6hhc6	9hqc1	9hqc2	9hqc3	9hqc4	9hqc5	9hqc6	9hmc1	9hmc2	9hmc3	9hmc4	9hmc5	9hmc6	9hhc1	9hhc2	9hhc3	9hhc4	9hhc5	9hhc6	12hqc1	12hqc2	12hqc3	12hqc4	12hqc5	12hqc6	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	12hhc1	12hhc2	12hhc3	12hhc4	12hhc5	12hhc6	24hqc1	24hqc2	24hqc3	24hqc4	24hqc5	24hqc6	24hmc1	24hmc2	24hmc3	24hmc4	24hmc5	24hmc6	24hhc1	24hhc2	24hhc3	24hhc4	24hhc5	24hhc6	48hqc1	48hqc2	48hqc3	48hqc4	48hqc5	48hqc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6	48hhc1	48hhc2	48hhc3	48hhc4	48hhc5	48hhc6	72hqc1	72hqc2	72hqc3	72hqc4	72hqc5	72hqc6	72hmc1	72hmc2	72hmc3	72hmc4	72hmc5	72hmc6	72hhc1	72hhc2	72hhc3	72hhc4	72hhc5	72hhc6
ASV_21	1	0	1	0	0	1	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	1	0	0	23	0	5	5	0	0	8	0	0	0	0	1	2	1	0	0	1	1	0	0	0	0	0	0	2	0	1	0	4	1937	1	15	0	0	1	26	0	6	0	0	2	13	0	2	1	0	0	1	0	4	0	0	0	2	0	5	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	0	0	0	0	0	50	0	0	0	1	0	0	8	2	2	11	0	0	0	0	1	0	0	0	0	1	0	0	0	222	1	15	1	0	0	2	2	4	0	2	0	0	0	0	0	0	0	17	1	0	0	3
ASV_22	0	40	75	9	72	7	8	15	431	100	41	4	0	0	4	2	7	20	1	1	3	1	4	14	1	1	11	13	8	3	19	15	0	35	0	0	50	15	2	1	1	1	1	7	2	3	0	1	38	13	6	14	13	105	67	36	0	23	5	29	111	14	3	9	2	6	67	24	12	2	36	20	4	98	37	310	10	115	2	19	43	10	16	7	15	240	6	1054	185	202	24	82	2942	95	388	587	0	83	28	10	25	34	40	2063	1977	462	170	1066	7	48	7	41	8	7	8	30	0	52	6	57	19	373	571	1890	742	155	4	21	6	8	2	7	1	47	4	9	2	1	9	111	9	140	8	21	0	0	22	55	6	0	0	10	2	28	17	2	5	31	242	281	684	85
ASV_23	0	2	0	20	0	11	1	0	2	13	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	6	6	0	0	1	0	0	0	0	0	0	17	2	1	0	0	1	0	1	0	3	0	0	0	0	1	0	0	1	1	1	3	0	0	0	0	2	0	2	3	1	5	0	1	2	0	0	5	0	0	7	0	0	0	0	6	0	0	0	0	1	0	1	1	1	2	0	5	10	4	0	2	0	1	1	0	0	0	1	0	0	3	8	0	2	3	3	0	0	0	0	1	9	0	0	0	0	0	0	1	2	26	0	4	1	0	1	1	0	2	1	2	0	0	0	0	2	1	5	5	0	1	1	0	1	0	0	2	0	0	1	0	0	1	0
ASV_24	0	0	0	0	3	0	1	0	10	1	0	0	0	0	1	0	1	1	2	0	1	0	0	0	3	2	2	4	8	3	0	4	0	3	1	1	15	1	0	3	0	0	0	5	14	28	1	3	32	10	15	27	5	30	0	1	5	2	1	4	2	2	5	0	0	0	11	3	2	2	0	3	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	3	1	1	15	7	0	0	0	1	21	2	0	0	0	0	925	5	4	2	1	2	0	0	1	3	0	0	17	8	7	6	0	14	1	6	12	11	17	7	9	0	184	16	22	58	14	34	165	105	30	128	33	37	25	144	12	183	1	5	0	0	8	0	3	31	2	26	9	5	6	10	7	11	20	70
ASV_25	1388	778	798	1111	270	259	275	463	114	1460	112	181	11	5	8	13	18	21	97	115	263	699	160	350	172	134	303	186	200	454	53	63	44	79	76	77	125	175	445	148	167	206	54	106	175	186	101	87	30	54	55	50	77	86	124	194	128	183	104	68	175	136	42	150	60	43	91	46	108	25	56	87	188	1235	76	384	257	478	60	122	28	57	149	89	47	51	11	26	59	54	119	246	715	230	390	1250	281	74	103	118	99	111	21	8	31	36	7	26	426	677	35	133	468	404	216	18	72	107	71	1254	8	30	1	15	11	0	75	229	815	437	415	227	28	46	43	298	18	24	59	5	56	14	27	37	352	245	436	133	119	104	38	88	14	34	34	14	49	57	69	25	22	37
ASV_26	2	0	0	0	0	0	0	6	1	0	1	0	0	1	1	0	1	0	0	1	2	1	1	2	2	2	0	6	0	18	2	0	0	6	1	3	0	2	2	0	32	1	1	0	1	1	60	0	0	2	10	3	15	60	0	1	1	7	1121	9	4	5	1	7	33	3	2	11	0	0	26	0	189	96	37	14	408	12	688	35	9	8	108	2	278	5	20	45	224	48	1	89	62	160	2	0	0	229	27	55	8	5	1	4	217	20	7	50	17	347	25	42	16	212	149	21	32	14	6	276	5	17	13	19	50	1	4	9	107	16	76	99	7	19	24	10	31	39	12	6	5	114	39	53	0	11	27	1	47	3	0	7	25	17	18	2	1	64	48	25	113	7
ASV_27	0	28	42	0	40	9	13	62	144	101	28	6	1	5	9	1	14	12	6	0	1	4	1	1	7	1	20	9	16	10	209	73	2	13	2	1	218	34	1	6	1	3	6	148	5	188	11	12	105	475	15	549	45	101	19	27	53	22	18	22	53	6	44	17	6	10	49	15	26	12	12	10	7	44	28	108	17	34	19	18	58	47	33	2	71	456	12	471	269	32	21	26	173	2	88	20	16	32	11	3	7	19	803	1337	210	38	102	1917	8	8	5	17	0	2	17	23	0	11	2	38	98	66	901	842	52	1011	53	4	1	2	2	0	10	16	5	11	6	1	51	654	7	16	5	17	1	5	5	12	22	2	8	30	1	38	20	2	35	48	17	75	45	31
ASV_28	15	10	69	91	57	70	431	4	8	81	92	892	24	73	700	335	71	488	2	3	6	9	5	4	8	3	3	6	1	7	5	0	1	0	0	1	22430	3	7	4	5	2	2992	2	1	0	2	4	12898	3	1	4	0	4	4	9	37	16	6	6	8	1	23	1	1	2	3	2	0	2	7	2	12	8	12	82	4	8032	3	1	7	3	1	271	4	3	8	982	14	306	13	5	17	1469	44	4980	6	8	1	141	1	178	10	4	4	391	45	799	24	335	4	7	12	851	47	76	1	2	10	127	222	835	3	93	1360	36	9	6	2	5	6	4	3	8	3	3	6	2	82	27	7	5	4	0	3	3	410	11	7	4	1	6	12	3	8	3	147	3817	668	162	749	1589
ASV_29	0	12	1	0	18	2	0	4	38	1	10	4	0	2	0	0	4	5	0	1	22	0	0	4	1	0	48	0	2	11	6	13	10	3	0	0	201	3	0	6	1	4	2	6	7	26	0	8	51	6	7	57	12	39	8	6	1	3	9	35	14	4	4	2	6	17	17	3	19	6	7	23	10	409	350	144	11	724	6	113	496	8	29	79	40	87	62	396	181	646	11	38	2005	41	124	69	17	77	108	8	18	40	901	2059	4714	772	111	1348	10	28	2	8	1	2	11	50	0	14	5	29	8	904	135	255	212	30	6	33	3	1	0	0	2	30	1	1	1	0	6	137	12	24	23	17	1	3	2	1	1	0	0	1	1	1	0	1	22	12	13	8	18	141
ASV_30	0	0	0	0	2	0	1	0	0	0	3	3	2	0	0	110	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	9	11	0	0	0	18	1	0	0	0	1	0	0	0	3	6	4	4	8	4	0	0	0	0	0	0	0	0	0	0	0	22	5	3	10	40	12	19	0	0	0	0	5	0	0	0	0	1	0	0	4	1	6	19	55	15	8	5	0	0	9	0	12	12	0	0	18	6	21936	1214	7	22	6056	132	0	0	0	4	0	0	0	2	0	0	0	0	29	7	4	137	11	3	0	0	0	0	0	0	0	0	0	0	0	1	4	132	21	8	15	35
